sample_id,Lifestage,Species,Temp.Cat,cells.cm2
ACR-A10,Adult,Acropora,30,260247.20745327874
ACR-A11,Adult,Acropora,30,523058.3359894404
ACR-A12,Adult,Acropora,27,430651.53734555776
ACR-A13,Adult,Acropora,33,484864.36843685765
ACR-A14,Adult,Acropora,27,464986.12445104466
ACR-A15,Adult,Acropora,30,331953.0241672711
ACR-A16,Adult,Acropora,27,516382.45767452917
ACR-A17,Adult,Acropora,33,445698.8770934622
ACR-A6,Adult,Acropora,33,683476.7660023265
ACR-A7,Adult,Acropora,30,187966.20570331803
ACR-A8,Adult,Acropora,27,841497.1950437833
ACR-A9,Adult,Acropora,33,475592.45495161496
ACR-R11,Recruit,Acropora,27,49385.12227157955
ACR-R12,Recruit,Acropora,33,324284.1652995706
ACR-R13,Recruit,Acropora,33,780299.9689863836
ACR-R14,Recruit,Acropora,30,237032.65519253584
ACR-R15,Recruit,Acropora,33,247667.5290940643
ACR-R16,Recruit,Acropora,33,156465.54816161512
ACR-R17,Recruit,Acropora,27,413650.01866367547
ACR-R18,Recruit,Acropora,30,277724.7979297372
ACR-R19,Recruit,Acropora,33,276078.59351998166
ACR-R22,Recruit,Acropora,30,276976.35350469593
ACR-R23,Recruit,Acropora,27,417056.79651630396
ACR-R24,Recruit,Acropora,27,265406.5694082577
ACR-R25,Recruit,Acropora,30,578640.5030207264
ACR-R26,Recruit,Acropora,30,324700.9496817739
ACR-R27,Recruit,Acropora,27,261873.37546841038
ACR-R28,Recruit,Acropora,30,673743.1650868854
ACR-R29,Recruit,Acropora,27,253488.167140735
ACR-R30,Recruit,Acropora,33,946846.40437623
POC-A10,Adult,Pocillopora,30,1156279.5012977822
POC-A11,Adult,Pocillopora,33,260163.3823271708
POC-A12,Adult,Pocillopora,33,329588.7530978305
POC-A13,Adult,Pocillopora,27,134662.75287504357
POC-A14,Adult,Pocillopora,30,652941.5828179239
POC-A15,Adult,Pocillopora,27,181940.3371226301
POC-A16,Adult,Pocillopora,33,332517.45545218146
POC-A17,Adult,Pocillopora,30,696527.9892371267
POC-A6,Adult,Pocillopora,27,285985.30283953075
POC-A7,Adult,Pocillopora,30,287542.37689468305
POC-A8,Adult,Pocillopora,33,314320.7410468567
POC-A9,Adult,Pocillopora,27,499687.5637620072
POC-R11,Recruit,Pocillopora,27,161894.45579364567
POC-R12,Recruit,Pocillopora,30,127213.22706275954
POC-R13,Recruit,Pocillopora,30,150609.26888289096
POC-R14,Recruit,Pocillopora,33,88011.99817869235
POC-R15,Recruit,Pocillopora,33,104218.95757129115
POC-R16,Recruit,Pocillopora,33,15530.473832440886
POC-R18,Recruit,Pocillopora,30,146633.6294918565
POC-R19,Recruit,Pocillopora,33,284076.67080287496
POC-R20,Recruit,Pocillopora,33,313117.6858321931
POC-R21,Recruit,Pocillopora,27,86582.3889076941
POC-R22,Recruit,Pocillopora,30,160180.39565630248
POC-R23,Recruit,Pocillopora,27,238373.21705777076
POC-R24,Recruit,Pocillopora,30,121586.30711720655
POC-R26,Recruit,Pocillopora,30,11049.576074606292
POC-R27,Recruit,Pocillopora,27,149232.45200864424
POC-R28,Recruit,Pocillopora,27,227416.36507973718
POC-R29,Recruit,Pocillopora,27,285594.14381509944
POC-R30,Recruit,Pocillopora,33,161694.6790322359
POR-A10,Adult,Porites,33,220683.9155458147
POR-A11,Adult,Porites,33,425097.2224457799
POR-A12,Adult,Porites,27,308310.3853425528
POR-A13,Adult,Porites,27,1341187.9442696348
POR-A14,Adult,Porites,27,979337.3777763005
POR-A15,Adult,Porites,33,1083156.8189580052
POR-A16,Adult,Porites,27,1196853.2941073924
POR-A17,Adult,Porites,30,486943.99371056724
POR-A6,Adult,Porites,33,760367.0873011779
POR-A7,Adult,Porites,30,342174.6599192791
POR-A8,Adult,Porites,30,424089.69664592337
POR-A9,Adult,Porites,30,444251.6633571676
POR-R11,Recruit,Porites,30,30487.3892839014
POR-R13,Recruit,Porites,33,36398.07155133682
POR-R14,Recruit,Porites,30,730773.805294824
POR-R15,Recruit,Porites,33,263783.83548985526
POR-R16,Recruit,Porites,30,345541.1937420407
POR-R17,Recruit,Porites,27,312835.9553074504
POR-R18,Recruit,Porites,27,185136.11007836286
POR-R19,Recruit,Porites,33,571177.3594402957
POR-R20,Recruit,Porites,27,733797.0224015379
POR-R21,Recruit,Porites,30,344920.50748258113
POR-R22,Recruit,Porites,27,443953.8092186654
POR-R24,Recruit,Porites,33,820533.8156584733
POR-R25,Recruit,Porites,30,248037.50949622318
POR-R26,Recruit,Porites,27,130699.10973284599
POR-R27,Recruit,Porites,33,960095.2730454444
POR-R28,Recruit,Porites,33,213339.2654101566
POR-R29,Recruit,Porites,30,373102.5368545746
POR-R30,Recruit,Porites,27,286409.24043885357
